ORDERNUMBER,QUANTITYORDERED,PRICEEACH,ORDERDATE,STATUS,PRODUCTLINE,PRODUCTCODE,CUSTOMERNAME,PHONE,ADDRESSLINE1,CITY,STATE,POSTALCODE,COUNTRY,TERRITORY,CONTACTLASTNAME,CONTACTFIRSTNAME
10107,30,95.7,2/24/2003 0:00,Shipped,Motorcycles,S10_1678,Land of Toys Inc.,2125557818,897 Long Airport Avenue,NYC,NY,10022,United States,NA,Yu,Kwai
10121,34,81.35,5/7/2003 0:00,Shipped,Motorcycles,S10_1678,Reims Collectables,26.47.1555,59 rue de l'Abbaye,Reims,,51100,France,EMEA,Henriot,Paul
10134,41,94.74,7/1/2003 0:00,Shipped,Motorcycles,S10_1678,Lyon Souveniers,+33 1 46 62 7555,27 rue du Colonel Pierre Avia,Paris,,75508,France,EMEA,Da Cunha,Daniel
10145,45,83.26,8/25/2003 0:00,Shipped,Motorcycles,S10_1678,Toys4GrownUps.com,6265557265,78934 Hillside Dr.,Pasadena,CA,90003,USA,NA,Young,Julie
10159,49,100,10/10/2003 0:00,Shipped,Motorcycles,S10_1678,Corporate Gift Ideas Co.,6505551386,7734 Strong St.,San Francisco,CA,,United States,NA,Brown,Julie
10168,36,96.66,10/28/2003 0:00,Shipped,Motorcycles,S10_1678,Technics Stores Inc.,6505556809,9408 Furth Circle,Burlingame,CA,94217,USA,NA,Hirano,Juri
10180,29,86.13,11/11/2003 0:00,Shipped,Motorcycles,S10_1678,Daedalus Designs Imports,20.16.1555,"184, chauss‚e de Tournai",Lille,,59000,France,EMEA,Ranc‚,Martine
10188,48,100,11/18/2003 0:00,Shipped,Motorcycles,S10_1678,Herkku Gifts,+47 2267 3215,"Drammen 121, PR 744 Sentrum",Bergen,,N 5804,Norway,EMEA,Oeztan,Veysel
10201,22,98.57,12/1/2003 0:00,Shipped,Motorcycles,S10_1678,Mini Wheels Co.,6505555787,5557 North Pendale Street,San Francisco,CA,,United States,NA,Murphy,Julie
10211,41,100,1/15/2004 0:00,Shipped,Motorcycles,S10_1678,Auto Canal+ Petit,(1) 47.55.6555,"25, rue Lauriston",Paris,,75016,France,EMEA,Perrier,Dominique
10223,37,100,2/20/2004 0:00,Shipped,Motorcycles,S10_1678,"Australian Collectors, Co.",03 9520 4555,636 St Kilda Road,Melbourne,Victoria,3004,Australia,APAC,Ferguson,Peter
